"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
5.34203446285586e-107,3.20514460420774,0.375,0.083,8.44896170645283e-103,"7","KLHL41"
0,4.26432454424884,0.911,0.161,0,"8","DLK1"
0,3.54719592559885,0.853,0.175,0,"8","MEG3"
0,5.15740561424691,0.474,0.021,0,"8","SIX3"
1.3731636204954e-271,4.81774444599554,0.27,0.01,2.17179558217553e-267,"8","SFTPA1"
1.59404708492221e-269,3.74306528519437,0.623,0.093,2.52114486951296e-265,"8","RGS16"
2.27477248585673e-250,3.96327893573035,0.938,0.36,3.59778016363101e-246,"8","CDKN1C"
3.79426477788011e-234,3.89272979010142,0.413,0.042,6.00100917269518e-230,"8","FSTL4"
9.24247096207061e-233,3.95449261176961,0.345,0.027,1.46178920736109e-228,"8","TCERG1L"
1.47021083511444e-231,4.12905121492601,0.298,0.019,2.325285456817e-227,"8","PTCHD2"
6.10654327112571e-205,3.58621501172392,0.368,0.037,9.65810883761243e-201,"8","CHST8"
0,9.88843239943029,0.811,0.012,0,"9","COL3A1"
0,9.98212449754252,0.809,0.011,0,"9","COL1A2"
0,9.08823596976793,0.803,0.055,0,"9","COL1A1"
0,9.38704605949634,0.597,0.011,0,"9","COL6A3"
0,9.71975783009694,0.523,0.002,0,"9","CRLF1"
0,10.0555714512393,0.482,0.003,0,"9","SFRP2"
0,9.92966334466877,0.477,0.002,0,"9","THBS2"
0,8.75184795172948,0.46,0.002,0,"9","ADAMTS12"
0,10.1345860257449,0.356,0.001,0,"9","LUM"
0,8.70122187865951,0.284,0.002,0,"9","COL12A1"
0,4.21326168428767,0.879,0.127,0,"10","MAFA"
1.19035476246607e-258,4.31141051253395,0.411,0.029,1.88266509231634e-254,"10","WSCD2"
1.01139589661193e-230,3.25066864071534,0.962,0.324,1.59962375008142e-226,"10","C1QL1"
4.03008132546896e-230,3.2286367931924,0.663,0.105,6.37397662436171e-226,"10","C1orf127"
8.35575113429568e-229,3.16024242325445,0.953,0.341,1.32154559940021e-224,"10","ABCC8"
5.48791453168248e-200,2.88593187403063,0.784,0.179,8.679685623309e-196,"10","PDX1"
